MonsterId,ModelId,DisplayName,TargetSelect,AttackMode,AggroMode,AlertRadius,MaxHP,MoveSpeed,AttackPower,AttackSpeed,AttackRange,MeleeWindupSeconds,RangedProjectileSpeed,RangedTimeoutSeconds,Skills,LootDrop
Monster_01,MonsterModel_01,腐尸,Nearest,Melee,ActiveChase,,80,0.5,8,0.8,0.25,0.3,0,0,,Iron_1|Spirit_5
Monster_02,MonsterModel_02,骷髅兵,PreferWarrior,Ranged,PassiveChase,0.5,120,0.5,10,0.85,0.25,0,11,2.5,,Bone_1|Spirit_4
Monster_03,MonsterModel_03,墓园犬,PreferProtagonist,Melee,StationaryActive,1,160,0.5,12,0.9,0.25,0.34,0,0,,Iron_3|Spirit_7
Monster_04,MonsterModel_04,幽魂,Nearest,Melee,StationaryPassive,,200,0.5,14,0.95,0.25,0.36,0,0,,Bone_1|Spirit_6
Monster_05,MonsterModel_05,石像鬼,PreferWarrior,Ranged,ActiveChase,0.4,240,0.5,16,1,0.25,0,14,2.5,,Iron_2|Spirit_9
Monster_06,MonsterModel_06,巫妖徒,PreferProtagonist,Melee,PassiveChase,,280,0.5,18,1.05,0.25,0.4,0,0,,Bone_1|Spirit_8
Monster_07,MonsterModel_07,骨龙幼崽,Nearest,Melee,ActiveChase,,320,0.5,20,1.1,0.25,0.42,0,0,,Iron_1|Spirit_11
Monster_08,MonsterModel_08,血仆,PreferWarrior,Ranged,ActiveChase,0.6,360,0.5,22,1.15,0.25,0,17,2.5,,Bone_1|Spirit_10
Monster_09,MonsterModel_09,暗影刺客,PreferProtagonist,Melee,StationaryActive,0.8,400,0.5,24,1.2,0.25,0.46,0,0,,Iron_3|Spirit_13
Monster_10,MonsterModel_10,巨型僵尸,Nearest,Melee,ActiveChase,6,440,0.5,26,1.25,1.5,0.48,0,0,,Bone_1|Spirit_12
