WaveConfigId,SpawnOrder,SpawnRemainingSeconds,MonsterId,SpawnCount,AppearLocation,SpawnMode,SpawnClockHour
Wave_01,1,100,Monster_01,1,OutsideMap,RegionRandom,
Wave_01,2,100,Monster_02,1,OutsideMap,ClockDirection,3
Wave_01,1,95,Monster_03,2,InsideMap,RegionRandom,
Wave_01,1,90,Monster_04,2,OutsideMap,ClockDirection,6
Wave_01,1,85,Monster_01,2,OutsideMap,RegionRandom,
Wave_01,1,80,Monster_02,2,OutsideMap,RegionRandom,
Wave_01,1,75,Monster_03,2,OutsideMap,ClockDirection,
Wave_01,1,70,Monster_04,2,InsideMap,RegionRandom,
Wave_01,1,65,Monster_01,2,OutsideMap,ClockDirection,
Wave_01,1,60,Monster_02,2,OutsideMap,RegionRandom,
Wave_01,1,55,Monster_03,2,OutsideMap,RegionRandom,
Wave_01,1,50,Monster_04,2,OutsideMap,ClockDirection,
Wave_01,1,45,Monster_01,2,InsideMap,RegionRandom,
Wave_01,1,40,Monster_02,2,OutsideMap,ClockDirection,
Wave_01,1,35,Monster_03,3,OutsideMap,RegionRandom,
Wave_01,1,30,Monster_04,3,OutsideMap,RegionRandom,
Wave_01,1,25,Monster_01,3,OutsideMap,ClockDirection,
Wave_01,1,20,Monster_02,3,InsideMap,RegionRandom,
Wave_01,1,15,Monster_03,3,OutsideMap,ClockDirection,
Wave_01,1,10,Monster_04,3,OutsideMap,RegionRandom,
Wave_01,1,5,Monster_01,3,OutsideMap,RegionRandom,
Wave_01,2,5,Monster_02,3,OutsideMap,ClockDirection,
Wave_01,3,5,Monster_03,3,InsideMap,RegionRandom,
Wave_01,4,5,Monster_04,3,OutsideMap,ClockDirection,
Wave_02,1,100,Monster_06,3,OutsideMap,RegionRandom,
Wave_02,1,70,Monster_07,2,InsideMap,ClockDirection,9
Wave_02,2,70,Monster_08,2,OutsideMap,ClockDirection,12
Wave_02,1,40,Monster_09,4,OutsideMap,RegionRandom,
Wave_02,1,10,Monster_10,1,OutsideMap,ClockDirection,1
