QualityId,MaxHP,DropMode,LootDrop,IconStyleHighId,IconStyleMidId,IconStyleLowId
Q1,26,1,Iron;10000;3|BP_Head_Human;10000;1,GraveIcon_Q1_High,GraveIcon_Q1_Mid,GraveIcon_Q1_Low
Q2,30,1,Bone;10000;2|BP_Torso_Human;10000;1,GraveIcon_Q2_High,GraveIcon_Q2_Mid,GraveIcon_Q2_Low
Q3,34,1,Wood;10000;4|BP_Arm_Elf;10000;1,GraveIcon_Q3_High,GraveIcon_Q3_Mid,GraveIcon_Q3_Low
Q4,38,1,Stone;10000;2|BP_Leg_Elf;10000;1,GraveIcon_Q4_High,GraveIcon_Q4_Mid,GraveIcon_Q4_Low
Q5,42,1,Cloth;10000;3|BP_Head_Orc;10000;1,GraveIcon_Q5_High,GraveIcon_Q5_Mid,GraveIcon_Q5_Low
Q6,46,1,Copper;10000;2|BP_Torso_Orc;10000;1,GraveIcon_Q6_High,GraveIcon_Q6_Mid,GraveIcon_Q6_Low
Q7,50,1,Wood;10000;4|BP_Arm_Elf;10000;1,GraveIcon_Q7_High,GraveIcon_Q7_Mid,GraveIcon_Q7_Low
Q8,54,1,Iron;10000;3|BP_Head_Human;10000;1,GraveIcon_Q8_High,GraveIcon_Q8_Mid,GraveIcon_Q8_Low
Q9,58,1,Bone;10000;2|BP_Torso_Human;10000;1,GraveIcon_Q9_High,GraveIcon_Q9_Mid,GraveIcon_Q9_Low
Q10,62,1,Wood;10000;4|BP_Arm_Elf;10000;1,GraveIcon_Q10_High,GraveIcon_Q10_Mid,GraveIcon_Q10_Low
