LevelId,LevelName,DifficultyId,StageNumber,GameplayOptionId1,GameplayOptionId2,GameplayOptionId3,GameplayOptionId4,GameplayOptionId5,RouteMapAssetId,UnlockLevelId
Level_01,第1关,Diff_Normal,1,Opt_L01_S1_Dig,,,,,,
Level_01,第1关,Diff_Normal,2,Opt_L01_S2_UpgradeManufacture,,,,,,
Level_01,第1关,Diff_Normal,3,Opt_L01_S3_PushMap,,,,,,
Level_02,第2关,Diff_Normal,1,Opt_L02_S1_Dig,,,,,,
Level_02,第2关,Diff_Normal,2,Opt_L02_S2_Defend,,,,,,
Level_02,第2关,Diff_Normal,3,Opt_L02_S3_Dig,,,,,,
Level_03,第3关,Diff_Normal,1,Opt_L03_S1_Dig,,,,,,
Level_03,第3关,Diff_Normal,2,Opt_L03_S2_UpgradeManufacture,,,,,,
Level_03,第3关,Diff_Normal,3,Opt_L03_S3_Defend,,,,,,
Level_03,第3关,Diff_Normal,4,Opt_L03_S4_Dig,,,,,,
