AppearanceId,AppearanceLevel,RaceId,ClassAffinity,Description,IsFallback,BodyRadius,FacingYawFlip
App_01,1,Race_Human,骑士|战士,人类战士外观,,0.16,0
App_02,2,Race_Construct,战士,构造体保底外形,,0.16,0
App_03,2,Race_Elf,射手|游侠,精灵远程外观,,0.16,0
App_04,3,Race_Orc,狂战士,兽人蛮力外观,,0.16,0
App_05,2,Race_Undead,法师,亡灵施法外观,,0.16,0
App_06,3,Race_Dwarf,骑士|圣骑士,矮人重装外观,,0.16,0
App_07,1,Race_Goblin,盗贼,哥布林外观,,0.16,0
App_08,4,Race_Demon,术士,恶魔外观,,0.16,0
App_09,3,Race_Angel,牧师,天使外观,,0.16,0
App_10,2,Race_Beast,,野兽外观,,0.16,0
App_90,1,Race_Construct,,构造体保底外形,1,0.16,0
App_91,1,Race_Human,,种族保底外形,1,0.16,0
App_92,1,Race_Elf,,种族保底外形,1,0.16,0
App_93,1,Race_Orc,,种族保底外形,1,0.16,0
App_94,1,Race_Undead,,种族保底外形,1,0.16,0
App_95,1,Race_Dwarf,,种族保底外形,1,0.16,0
App_96,1,Race_Goblin,,种族保底外形,1,0.16,0
App_97,1,Race_Demon,,种族保底外形,1,0.16,0
App_98,1,Race_Angel,,种族保底外形,1,0.16,0
App_99,1,Race_Beast,,野兽种族保底外形,1,0.16,0
