ClassId,ClassName,PrimaryStat,CombatConvertCoeffs,AttackRange,MeleeWindupSeconds,RangedProjectileSpeed,RangedTimeoutSeconds
Class_Warrior,战士,Strength,NormalAttackPrimaryMult_1.5|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.3,0.5,0,0
Class_Archer,射手,Agility,NormalAttackPrimaryMult_1.5|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,1,0.5,13,1
Class_Mage,法师,Intelligence,NormalAttackPrimaryMult_1.5|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.8,0.5,14,1
Class_Knight,骑士,Strength,NormalAttackPrimaryMult_1.5|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.3,0.5,0,0
Class_Rogue,盗贼,Agility,NormalAttackPrimaryMult_1.5|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.3,0.5,0,0
Class_Priest,牧师,Intelligence,NormalAttackPrimaryMult_1.5|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,1.2,0.5,17,2
Class_Berserker,狂战士,Strength,NormalAttackPrimaryMult_1.5|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.3,0.5,0,0
Class_Ranger,游侠,Agility,NormalAttackPrimaryMult_1.5|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,1.1,0.5,19,1
Class_Warlock,术士,Intelligence,NormalAttackPrimaryMult_1.5|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.9,0.5,20,1
Class_Paladin,圣骑士,Strength,NormalAttackPrimaryMult_1.5|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.5,0.5,0,0
