RaceId,DisplayNameKey,RaceAdjustCoeff.MaxHP,RaceAdjustCoeff.MoveSpeed,RaceAdjustCoeff.Strength,RaceAdjustCoeff.Agility,RaceAdjustCoeff.Intelligence,LossOfControlChanceBonus
Race_Human,Race.Race_Human.Name,-0.1,-0.01,-0.05,0.07,0.01,0
Race_Elf,Race.Race_Elf.Name,-0.05,0.03,0.01,-0.05,0.07,0
Race_Orc,Race.Race_Orc.Name,0,0.07,0.07,0.01,-0.05,0
Race_Undead,Race.Race_Undead.Name,0.05,-0.05,-0.05,0.07,0.01,0
Race_Dwarf,Race.Race_Dwarf.Name,0.1,-0.01,0.01,-0.05,0.07,0
Race_Goblin,Race.Race_Goblin.Name,-0.1,0.03,0.07,0.01,-0.05,0
Race_Demon,Race.Race_Demon.Name,-0.05,0.07,-0.05,0.07,0.01,0.05
Race_Angel,Race.Race_Angel.Name,0,-0.05,0.01,-0.05,0.01,-0.03
Race_Beast,Race.Race_Beast.Name,0.05,-0.01,0.07,0.01,-0.05,0
Race_Construct,Race.Race_Construct.Name,0.1,0.03,-0.05,0.07,0.01,0
