ConstantKey,ConstantKeyZh,Value,Comment,CommentZh
NormalAttackPrimaryMult,普攻主属性倍率,1,NormalAttackPower = Primary x Mult,普通攻击伤害=主属性最终值×本系数；职业表CombatConvertCoeffs可覆盖
AttackSpeedBase,攻击速度基础值,0.5,AttackSpeed constant term,攻速=本值+敏捷相关项中的常数项
AttackSpeedAgiDiv,攻击速度敏捷除数,60,AttackSpeed Agility divisor,攻速公式中除以敏捷的分子；敏捷越高攻速越接近基础值
SkillCdIntDiv,技能冷却智力除数,30,SkillCooldown Intelligence divisor,"技能CD=max(下限,基础CD−本值/max(智力,1))；Demo不施放"
SkillCdFloor,技能冷却下限,0.1,SkillCooldown floor seconds,技能冷却最短秒数，防止智力过高使CD过低
MaxHpStrengthMult,血量力量系数,3,MaxHP = ceil(BodyLife + Str x Mult),士兵最大生命=ceil(躯体生命+力量×本系数)
CameraHeightY,镜头高度,30,Top-down camera world Y above map center,俯视正交相机相对地图中心的世界Y高度；Dig/Defend/布阵/PushMap共用
CombatCameraPitchDegrees,战斗相机倾角,85,Defend+PushMap Combat ortho Euler X (90=top-down),Defend+PushMap开战Combat正交相机Euler X（90=纯俯视；Prepare/Dig仍90）
CameraOrthoSizeMargin,地图适配Size余量,1.5,orthoSize = max(halfExtents) - margin,Dig/Defend/布阵：正交Size=地图半幅较大边减去本余量
PushMapCameraOrthoSize,推图开战默认Size,2.3,PushMap combat default orthographicSize,PushMap开战默认正交Size（异于Defend的地图适配公式）
PushMapPrepareOrthoSize,推图布阵默认Size,4.5,PushMap Prepare FormationCamera orthographicSize (not map-fit),PushMap Prepare 布阵 FormationCamera 正交Size（不用地图适配公式）
CameraNearClip,镜头近裁剪面,0.1,Camera nearClipPlane,正交相机近裁剪面
CameraFarClip,镜头远裁剪面,100,Camera farClipPlane,正交相机远裁剪面
CameraFollowDeadzone,跟随死区半径,0.15,PushMap Auto follow deadzone world-XZ,PushMap Auto跟随：目标在死区内则镜头XZ不移动
CameraFollowSmoothTime,跟随平滑时间,0.25,PushMap Auto SmoothDamp time,PushMap Auto跟随：超出死区后XZ SmoothDamp时间（秒）
CameraZoomStepPerNotch,滚轮缩放步进,0.5,Scroll wheel orthographicSize step,PushMap滚轮每格改变的正交Size
CameraOrthoSizeMin,正交Size下限,0.5,Min orthographicSize clamp,正交Size下限（含Dig/Defend适配结果钳制与PushMap缩放）
CameraOrthoSizeMax,正交Size上限,20,Max orthographicSize clamp,PushMap滚轮缩放上限
CameraDragThresholdPixels,拖拽启动像素阈值,4,LMB drag arm threshold in screen px,PushMap手动拖镜头：累计位移超过本像素才开始平移
PushMapCameraIntroSpeed,推图镜头预览速度,12,PushMap StartBattle Intro rail speed world-XZ units/sec,PushMap开战镜头预览沿CameraFollowPath的世界XZ恒速（单位/秒）
PushMapCameraIntroWaypointDwellSeconds,推图镜头预览路点停留,0.5,PushMap Intro dwell seconds at each author WP,PushMap开战镜头预览在每个作者路点（含起终点）的停留秒数
SearchExtractHoldOrthoSizeMin,搜打撤守点Size下限,2.3,HoldFraming ortho Size floor (intersect CameraOrthoSizeMin),HoldFraming 正交 Size 下限（再与 CameraOrthoSizeMin 取交）
SearchExtractHoldOrthoSizeMax,搜打撤守点Size上限,3,HoldFraming ortho Size ceiling (intersect CameraOrthoSizeMax),HoldFraming 正交 Size 上限（再与 CameraOrthoSizeMax 取交）
SearchExtractHoldMaxPanRadius,守点中心偏移半径,8,Max look-at distance from current Objective world XZ,look-at 距当前 Objective 世界 XZ 最大半径；圈外忠诚兵允许出镜
SearchExtractHoldViewportPad,守点视口边垫,0.08,Outer viewport pad on four sides (0-0.5),外框四边视口垫（0～0.5）
SearchExtractHoldTopHudPad,守点顶HUD垫,0.12,Extra top pad for CountdownBar / CombatIndicator,外框顶边额外垫（CountdownBar / CombatIndicator）
SearchExtractHoldInnerPad,守点内框垫,0.18,Inner pad; tighten only after all stay inside for dwell,内框边垫；全体在内框内满滞留才允许收紧
SearchExtractHoldZoomInDelaySeconds,守点拉近滞留秒,0.8,Dwell seconds before allowing Size shrink / recenter,内框滞留后才允许减小 Size / 回中
SearchExtractHoldSmoothTimeOut,守点拉远平滑秒,0.2,SmoothDamp when expanding Size / pan-out,Size/中心拉远（扩大）SmoothDamp
SearchExtractHoldSmoothTimeIn,守点拉近平滑秒,0.55,SmoothDamp when tightening; must be > Out,Size/中心拉近（收紧）SmoothDamp；须大于 Out
SearchExtractHoldSampleInterval,守点采样间隔秒,0.2,Low-frequency viewport AABB sample interval seconds,视口 AABB 低频采样间隔
