SkillId,SkillLevel,CooldownMode,CastTarget,ExtraActivationCondition,DisplayName,Description,IconAssetId,SkillEffectId,BaseCooldownSeconds,LossOfControlChanceBonus,EffectImplemented
Skill_01,1,Mode2,Self,敌人普攻命中Self,格挡,敌人本次普通攻击有10%的概率伤害变为0（但还是判断为命中）,Skill_01,SkillEffect_01_1,0,0,1
Skill_01,2,Mode2,Self,敌人普攻命中Self,格挡,敌人本次普通攻击有15%的概率伤害变为0（但还是判断为命中）,Skill_01,SkillEffect_01_2,0,0,1
Skill_01,3,Mode2,Self,敌人普攻命中Self,格挡,敌人本次普通攻击有20%的概率伤害变为0（但还是判断为命中）,Skill_01,SkillEffect_01_3,0,0,1
Skill_01,4,Mode2,Self,敌人普攻命中Self,格挡,敌人本次普通攻击有25%的概率伤害变为0（但还是判断为命中）,Skill_01,SkillEffect_01_4,0,0,1
Skill_01,5,Mode2,Self,敌人普攻命中Self,格挡,敌人本次普通攻击有30%的概率伤害变为0（但还是判断为命中）,Skill_01,SkillEffect_01_5,0,0,1
Skill_02,1,Mode2,Self,自身血量=100%,舒适,伤害提升5%,Skill_02,SkillEffect_02_1,0,0,1
Skill_02,2,Mode2,Self,自身血量=100%,舒适,伤害提升10%,Skill_02,SkillEffect_02_2,0,0,1
Skill_02,3,Mode2,Self,自身血量=100%,舒适,伤害提升15%,Skill_02,SkillEffect_02_3,0,0,1
Skill_02,4,Mode2,Self,自身血量=100%,舒适,伤害提升20%,Skill_02,SkillEffect_02_4,0,0,1
Skill_02,5,Mode2,Self,自身血量=100%,舒适,伤害提升25%,Skill_02,SkillEffect_02_5,0,0,1
Skill_03,1,Mode2,EnemySingle,,连发,攻击目标时连续攻击3次,Skill_03,SkillEffect_03_1,50,0,1
Skill_03,2,Mode2,EnemySingle,,连发,攻击目标时连续攻击3次,Skill_03,SkillEffect_03_2,40,0,1
Skill_03,3,Mode2,EnemySingle,,连发,攻击目标时连续攻击3次,Skill_03,SkillEffect_03_3,30,0,1
Skill_03,4,Mode2,EnemySingle,,连发,攻击目标时连续攻击3次,Skill_03,SkillEffect_03_4,20,0,1
Skill_03,5,Mode2,EnemySingle,,连发,攻击目标时连续攻击3次,Skill_03,SkillEffect_03_5,10,0,1
Skill_04,1,Mode2,EnemySingle,普攻攻击新目标敌人的第一次,先发制人,攻击伤害提升20%,Skill_04,SkillEffect_04_1,0,0,1
Skill_04,2,Mode2,EnemySingle,普攻攻击新目标敌人的第一次,先发制人,攻击伤害提升30%,Skill_04,SkillEffect_04_2,0,0,1
Skill_04,3,Mode2,EnemySingle,普攻攻击新目标敌人的第一次,先发制人,攻击伤害提升40%,Skill_04,SkillEffect_04_3,0,0,1
Skill_04,4,Mode2,EnemySingle,普攻攻击新目标敌人的第一次,先发制人,攻击伤害提升50%,Skill_04,SkillEffect_04_4,0,0,1
Skill_04,5,Mode2,EnemySingle,普攻攻击新目标敌人的第一次,先发制人,攻击伤害提升60%,Skill_04,SkillEffect_04_5,0,0,1
Skill_05,1,Mode2,Self,敌人的本次攻击导致Self死亡,坚挺,士兵自身生命值强制变为1点血，并无敌1秒钟,Skill_05,SkillEffect_05_1,60,0,1
Skill_05,2,Mode2,Self,敌人的本次攻击导致Self死亡,坚挺,士兵自身生命值强制变为1点血，并无敌2秒钟,Skill_05,SkillEffect_05_2,60,0,1
