MonsterId,ModelId,DisplayName,TargetSelect,AttackMode,MonsterType,AggroMode,AlertRadius,BodyRadius,PushCoefficient,RepulsionScale,FacingYawFlip,MaxHP,MoveSpeed,RunSpeed,WalkToRunSeconds,ActiveMoveMult,PassiveMoveMult,AttackPower,AttackSpeed,AttackRange,MeleeWindupSeconds,RangedProjectileSpeed,RangedTimeoutSeconds,Skills,NormalAttackAnims,WalkAnims,RunAnims,LootDrop
Monster_01,MonsterModel_02;10|MonsterModel_04;10|MonsterModel_05;10|MonsterModel_07;10|MonsterModel_08;10,腐尸,Nearest,Melee,1,ActiveChase,3,0.15,1,0.5,0,25,0.5,1.0,0.5,1,1,8,0.8,0.25,0.3,0,0,MSkill_SelfRevive_99;0,Attack1|Attack2|Attack3|Attack4,Walk,Run,
Monster_02,MonsterModel_03;10,胖子僵尸,Nearest,Ranged,1,ActiveChase,3,0.15,1,0.5,0,55,0.5,1.0,0.5,1,1,10,0.85,0.25,0,11,2.5,,Attack1|Attack2|Attack3|Attack4,Walk,Run,
Monster_03,MonsterModel_05;10,墓园犬,PreferProtagonist,Melee,1,ActiveChase,3,0.15,1,0.5,0,85,0.5,1.0,0.5,1,1,12,0.9,0.25,0.34,0,0,,Attack1|Attack2|Attack3|Attack4,Walk,Run,
Monster_04,MonsterModel_02;10|MonsterModel_04;10|MonsterModel_05;10|MonsterModel_07;10|MonsterModel_08;10,腐尸,Nearest,Melee,1,ActiveChase,10,0.15,1,0.5,0,25,0.5,1.0,0.5,1,1,8,0.8,0.25,0.3,0,0,MSkill_SelfRevive_1;0,Attack1|Attack2|Attack3|Attack4,Walk,Run,
Monster_05,MonsterModel_05;10,石像鬼,PreferWarrior,Ranged,1,ActiveChase,3,0.15,1,0.5,0,145,0.5,1.0,0.5,1,1,16,1,0.25,0,14,2.5,,Attack1|Attack2|Attack3|Attack4,Walk,Run,
Monster_06,MonsterModel_05;10,巫妖徒,PreferProtagonist,Melee,1,ActiveChase,3,0.15,1,0.5,0,175,0.5,1.0,0.5,1,1,18,1.05,0.25,0.4,0,0,,Attack1|Attack2|Attack3|Attack4,Walk,Run,
Monster_07,MonsterModel_05;10,骨龙幼崽,Nearest,Melee,1,ActiveChase,3,0.15,1,0.5,0,205,0.5,1.0,0.5,1,1,20,1.1,0.25,0.42,0,0,,Attack1|Attack2|Attack3|Attack4,Walk,Run,
Monster_08,MonsterModel_05;10,血仆,PreferWarrior,Ranged,1,ActiveChase,3,0.15,1,0.5,0,235,0.5,1.0,0.5,1,1,22,1.15,0.25,0,17,2.5,,Attack1|Attack2|Attack3|Attack4,Walk,Run,
Monster_09,MonsterModel_05;10,暗影刺客,PreferProtagonist,Melee,1,ActiveChase,3,0.15,1,0.5,0,265,0.5,1.0,0.5,1,1,24,1.2,0.25,0.46,0,0,,Attack1|Attack2|Attack3|Attack4,Walk,Run,
Monster_10,MonsterModel_05;10,巨型僵尸,Nearest,Melee,1,ActiveChase,3,0.15,1,0.5,0,295,0.5,1.0,0.5,1,1,26,1.25,1.5,0.48,0,0,,Attack1|Attack2|Attack3|Attack4,Walk,Run,
Monster_11,MonsterModel_06;10,骷髅猛士,Nearest,Melee,3,ActiveChase,2,0.3,1.1,1,0,2000,0.3,0.6,0.5,1,1,1500,1.25,0.35,1.25,0,0,,Attack1|Attack2|Attack3|Attack4,Walk,Run,
Monster_12,MonsterModel_03;10,胖子僵尸,Nearest,Melee,3,ActiveChase,3,0.3,1.1,1,0,800,0.3,0.6,0.5,1,1,50,1.25,0.35,1.25,0,0,,Attack1|Attack2|Attack3|Attack4,Walk,Run,
