GameplayConfigId,DigMapId,LevelDurationSeconds,InitialGraveCount,SpawnRate,GraveSpawnWeights
Dig_01,Ground_01,50,12,1;5,Q1;50|Q2;50|Q3;10|Q4;10|Q5;10|Q6;10|Q7;10|Q8;10|Q9;10|Q10;10|Q11;10|Q12;10|Q13;50|Q14;50|Q15;50|Q16;50|Q17;50|Q18;50|Q19;50|Q20;50
Dig_02,Ground_01,50,13,6;1,Q1;50|Q2;50|Q3;10|Q4;10|Q5;10|Q6;10|Q7;10|Q8;10|Q9;10|Q10;10|Q11;10|Q12;10|Q13;50|Q14;50|Q15;50|Q16;50|Q17;50|Q18;50|Q19;50|Q20;50
Dig_03,Ground_01,50,14,4;2,Q1;50|Q2;50|Q3;10|Q4;10|Q5;10|Q6;10|Q7;10|Q8;10|Q9;10|Q10;10|Q11;10|Q12;10|Q13;50|Q14;50|Q15;50|Q16;50|Q17;50|Q18;50|Q19;50|Q20;50
Dig_04,Ground_01,50,15,5;1,Q1;50|Q2;50|Q3;10|Q4;10|Q5;10|Q6;10|Q7;10|Q8;10|Q9;10|Q10;10|Q11;10|Q12;10|Q13;50|Q14;50|Q15;50|Q16;50|Q17;50|Q18;50|Q19;50|Q20;50
Dig_05,Ground_01,50,16,6;2,Q1;50|Q2;50|Q3;10|Q4;10|Q5;10|Q6;10|Q7;10|Q8;10|Q9;10|Q10;10|Q11;10|Q12;10|Q13;50|Q14;50|Q15;50|Q16;50|Q17;50|Q18;50|Q19;50|Q20;50
Dig_06,Ground_01,50,17,4;1,Q1;50|Q2;50|Q3;10|Q4;10|Q5;10|Q6;10|Q7;10|Q8;10|Q9;10|Q10;10|Q11;10|Q12;10|Q13;50|Q14;50|Q15;50|Q16;50|Q17;50|Q18;50|Q19;50|Q20;50
Dig_07,Ground_01,50,18,5;2,Q1;50|Q2;50|Q3;10|Q4;10|Q5;10|Q6;10|Q7;10|Q8;10|Q9;10|Q10;10|Q11;10|Q12;10|Q13;50|Q14;50|Q15;50|Q16;50|Q17;50|Q18;50|Q19;50|Q20;50
Dig_08,Ground_01,50,19,6;1,Q1;50|Q2;50|Q3;10|Q4;10|Q5;10|Q6;10|Q7;10|Q8;10|Q9;10|Q10;10|Q11;10|Q12;10|Q13;50|Q14;50|Q15;50|Q16;50|Q17;50|Q18;50|Q19;50|Q20;50
Dig_09,Ground_01,50,20,4;2,Q1;50|Q2;50|Q3;10|Q4;10|Q5;10|Q6;10|Q7;10|Q8;10|Q9;10|Q10;10|Q11;10|Q12;10|Q13;50|Q14;50|Q15;50|Q16;50|Q17;50|Q18;50|Q19;50|Q20;50
Dig_10,Ground_01,50,21,5;1,Q1;50|Q2;50|Q3;10|Q4;10|Q5;10|Q6;10|Q7;10|Q8;10|Q9;10|Q10;10|Q11;10|Q12;10|Q13;50|Q14;50|Q15;50|Q16;50|Q17;50|Q18;50|Q19;50|Q20;50
