QualityId,MaxHP,DropMode,LootDrop,IconStyleHighId,IconStyleMidId,IconStyleLowId
Q1,26,1,BP_Head_Undead_1;10000;2|BP_Arm_Undead_2;10000;2,GraveIcon_Q1_High,GraveIcon_Q1_Mid,GraveIcon_Q1_Low
Q2,26,1,BP_Torso_Undead_1;10000;2|BP_Leg_Undead_2;10000;2,GraveIcon_Q2_High,GraveIcon_Q2_Mid,GraveIcon_Q2_Low
Q3,26,1,BP_Arm_Undead_Warrior;10000;1|BP_Head_Demon;10000;2,GraveIcon_Q3_High,GraveIcon_Q3_Mid,GraveIcon_Q3_Low
Q4,26,1,BP_Arm_Undead_Archer;10000;1|BP_Torso_Demon;10000;2,GraveIcon_Q4_High,GraveIcon_Q4_Mid,GraveIcon_Q4_Low
Q5,26,1,BP_Arm_Undead_Mage;10000;1|BP_Arm_Demon;10000;2,GraveIcon_Q5_High,GraveIcon_Q5_Mid,GraveIcon_Q5_Low
Q6,26,1,BP_Arm_Undead_Rogue;10000;1|BP_Leg_Demon;10000;2,GraveIcon_Q6_High,GraveIcon_Q6_Mid,GraveIcon_Q6_Low
Q7,26,1,BP_Arm_Undead_Guardian;10000;1,GraveIcon_Q7_High,GraveIcon_Q7_Mid,GraveIcon_Q7_Low
Q8,26,1,BP_Arm_Undead_BombMaster;10000;1,GraveIcon_Q8_High,GraveIcon_Q8_Mid,GraveIcon_Q8_Low
Q9,26,1,BP_Arm_Undead_IceMage;10000;1,GraveIcon_Q9_High,GraveIcon_Q9_Mid,GraveIcon_Q9_Low
Q10,26,1,BP_Arm_Undead_Brawler;10000;1,GraveIcon_Q10_High,GraveIcon_Q10_Mid,GraveIcon_Q10_Low
Q11,26,1,BP_Arm_Undead_Berserker;10000;1,GraveIcon_Q10_High,GraveIcon_Q10_Mid,GraveIcon_Q10_Low
Q12,26,1,BP_Arm_Undead_Longbowman;10000;1,GraveIcon_Q10_High,GraveIcon_Q10_Mid,GraveIcon_Q10_Low
Q13,26,1,BP_Arm_Undead_FireMage;10000;1,GraveIcon_Q10_High,GraveIcon_Q10_Mid,GraveIcon_Q10_Low
Q14,26,1,BP_Arm_Undead_Shadowblade;10000;1,GraveIcon_Q10_High,GraveIcon_Q10_Mid,GraveIcon_Q10_Low
Q15,26,1,BP_Arm_Angel_Paladin;10000;1,GraveIcon_Q10_High,GraveIcon_Q10_Mid,GraveIcon_Q10_Low
Q16,26,1,BP_Arm_Demon_DarkMage;10000;1,GraveIcon_Q10_High,GraveIcon_Q10_Mid,GraveIcon_Q10_Low
Q17,26,1,BP_Arm_Undead_1;10000;2|BP_Head_Angel;10000;2,GraveIcon_Q10_High,GraveIcon_Q10_Mid,GraveIcon_Q10_Low
Q18,26,1,BP_Leg_Undead_1;10000;2|BP_Torso_Angel;10000;2,GraveIcon_Q10_High,GraveIcon_Q10_Mid,GraveIcon_Q10_Low
Q19,26,1,BP_Head_Undead_2;10000;2|BP_Arm_Angel;10000;2,GraveIcon_Q10_High,GraveIcon_Q10_Mid,GraveIcon_Q10_Low
Q20,26,1,BP_Torso_Undead_2;10000;2|BP_Leg_Angel;10000;2,GraveIcon_Q10_High,GraveIcon_Q10_Mid,GraveIcon_Q10_Low
