LevelId,LevelName,DifficultyId,StageNumber,GameplayOptionId1,GameplayOptionId2,GameplayOptionId3,GameplayOptionId4,GameplayOptionId5,RouteMapAssetId,UnlockLevelId
Level_01,第1幕,Diff_Normal,1,L01_S1_Dig_1,,,,,SubLevel_001,
Level_01,第1幕,Diff_Normal,2,L01_S2_Dig_1,L01_S2_Dig_2,,,,SubLevel_001,
Level_01,第1幕,Diff_Normal,3,L01_S3_AutoManufacture_1,,,,,SubLevel_001,
Level_01,第1幕,Diff_Normal,4,L01_S4_SE_01,,,,,SubLevel_001,
Level_01,第1幕,Diff_Normal,5,L01_S5_Dig_1,L01_S5_Dig_2,L01_S5_Shop_1,,,SubLevel_001,
Level_01,第1幕,Diff_Normal,6,L01_S6_Dig_1,L01_S6_Dig_2,L01_S6_Dig_3,,,SubLevel_001,
Level_01,第1幕,Diff_Normal,7,L01_S7_AutoManufacture_1,L01_S7_AutoManufacture_2,,,,SubLevel_001,
Level_01,第1幕,Diff_Normal,8,L01_S8_Shop_1,L01_S8_SE_01,,,,SubLevel_001,
Level_01,第1幕,Diff_Normal,9,L01_S9_Dig_1,L01_S9_Dig_2,,,,SubLevel_001,
Level_01,第1幕,Diff_Normal,10,L01_S10_AutoManufacture_1,,,,,SubLevel_001,
Level_01,第1幕,Diff_Normal,11,L01_S11_PushMap,,,,,SubLevel_001,
Level_02,第2幕,Diff_Normal,1,L02_S1_Dig_1,,,,,SubLevel_001,L01_S11_PushMap
Level_02,第2幕,Diff_Normal,2,L02_S2_Dig_1,L02_S2_Dig_2,,,,SubLevel_001,
Level_02,第2幕,Diff_Normal,3,L02_S3_AutoManufacture_1,,,,,SubLevel_001,
Level_02,第2幕,Diff_Normal,4,L02_S4_SE_01,,,,,SubLevel_001,
Level_02,第2幕,Diff_Normal,5,L02_S5_Dig_1,L02_S5_Dig_2,L02_S5_Shop_1,,,SubLevel_001,
Level_02,第2幕,Diff_Normal,6,L02_S6_Dig_1,L02_S6_Dig_2,L02_S6_Dig_3,,,SubLevel_001,
Level_02,第2幕,Diff_Normal,7,L02_S7_AutoManufacture_1,L02_S7_AutoManufacture_2,,,,SubLevel_001,
Level_02,第2幕,Diff_Normal,8,L02_S8_Shop_1,L02_S8_SE_01,,,,SubLevel_001,
Level_02,第2幕,Diff_Normal,9,L02_S9_Dig_1,L02_S9_Dig_2,,,,SubLevel_001,
Level_02,第2幕,Diff_Normal,10,L02_S10_AutoManufacture_1,,,,,SubLevel_001,
Level_02,第2幕,Diff_Normal,11,L02_S11_PushMap,,,,,SubLevel_001,
Level_03,第3幕,Diff_Normal,1,L03_S1_Dig_1,,,,,SubLevel_001,L02_S11_PushMap
Level_03,第3幕,Diff_Normal,2,L03_S2_Dig_1,L03_S2_Dig_2,,,,SubLevel_001,
Level_03,第3幕,Diff_Normal,3,L03_S3_AutoManufacture_1,,,,,SubLevel_001,
Level_03,第3幕,Diff_Normal,4,L03_S4_SE_01,,,,,SubLevel_001,
Level_03,第3幕,Diff_Normal,5,L03_S5_Dig_1,L03_S5_Dig_2,L03_S5_Shop_1,,,SubLevel_001,
Level_03,第3幕,Diff_Normal,6,L03_S6_Dig_1,L03_S6_Dig_2,L03_S6_Dig_3,,,SubLevel_001,
Level_03,第3幕,Diff_Normal,7,L03_S7_AutoManufacture_1,L03_S7_AutoManufacture_2,,,,SubLevel_001,
Level_03,第3幕,Diff_Normal,8,L03_S8_Shop_1,L03_S8_SE_01,,,,SubLevel_001,
Level_03,第3幕,Diff_Normal,9,L03_S9_Dig_1,L03_S9_Dig_2,,,,SubLevel_001,
Level_03,第3幕,Diff_Normal,10,L03_S10_AutoManufacture_1,,,,,SubLevel_001,
Level_03,第3幕,Diff_Normal,11,L03_S11_PushMap,,,,,SubLevel_001,
