GameplayOptionId,GameplayType,GameplayConfigId,GatherPointCount,GatherPointRewards,IconAssetId,IconAssetId2,TipMessages,Title,Description,Reward,UnlockNextOptionIds,,,,,,
L01_S1_Dig_1,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟,标准挖坟 Dig_01,,L01_S2_Dig_1|L01_S2_Dig_2,,,,,,
L01_S2_Dig_1,Dig,Dig_01,,,MapIcon_Orcs_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟（路线A）,标准挖坟 Dig_01,,L01_S3_AutoManufacture_1,,,,,,
L01_S2_Dig_2,Dig,Dig_02,,,MapIcon_Mixed_1,,Spirit;2|Wreck;-1|Mage;1,挖坟（路线B）,进阶挖坟 Dig_02,,L01_S3_AutoManufacture_1,,,,,,
L01_S3_AutoManufacture_1,AutoManufacture,,,,MapIcon_AutoManufacture_1,MapIcon_AutoManufacture_2,,自动制造,自动制造（—）,,L01_S4_SE_01,,,,,,
L01_S4_SE_01,SearchExtract,SearchExtract_01,1,1:Spirit;10|2:Spirit;20,MapIcon_Battle_1,MapIcon_Battle_2,,搜打撤,搜打撤样例 SearchExtract_01,Spirit;20,L01_S5_Dig_1|L01_S5_Dig_2|L01_S5_Shop_1,,,,,,
L01_S5_Dig_1,Dig,Dig_01,,,MapIcon_Elves_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟（路线A）,标准挖坟 Dig_01,,L01_S6_Dig_1,,,,,,
L01_S5_Dig_2,Dig,Dig_02,,,MapIcon_Humans_1,,Spirit;2|Wreck;-1|Mage;1,挖坟（路线B）,进阶挖坟 Dig_02,,L01_S6_Dig_2,,,,,,
L01_S5_Shop_1,Shop,,,,MapIcon_Shop_1,MapIcon_Shop_2,,商店,商店（—）,,L01_S6_Dig_3,,,,,,
L01_S6_Dig_1,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟（路线A）,标准挖坟 Dig_01,,L01_S7_AutoManufacture_1,,,,,,
L01_S6_Dig_2,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;2|Wreck;-1|Mage;1,挖坟（路线A）,标准挖坟 Dig_01,,L01_S7_AutoManufacture_1|L01_S7_AutoManufacture_2,,,,,,
L01_S6_Dig_3,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟（路线A）,标准挖坟 Dig_01,,L01_S7_AutoManufacture_2,,,,,,
L01_S7_AutoManufacture_1,AutoManufacture,,,,MapIcon_AutoManufacture_1,MapIcon_AutoManufacture_2,,自动制造,自动制造（—）,,L01_S8_Shop_1,,,,,,
L01_S7_AutoManufacture_2,AutoManufacture,,,,MapIcon_AutoManufacture_1,MapIcon_AutoManufacture_2,,自动制造,自动制造（—）,,L01_S8_SE_01,,,,,,
L01_S8_Shop_1,Shop,,,,MapIcon_Shop_1,MapIcon_Shop_2,,商店,商店（—）,,L01_S9_Dig_1,,,,,,
L01_S8_SE_01,SearchExtract,SearchExtract_01,2,1:Spirit;10|2:Spirit;20,MapIcon_Battle_1,MapIcon_Battle_2,,搜打撤,搜打撤样例 SearchExtract_01,Spirit;20,L01_S9_Dig_2,,,,,,
L01_S9_Dig_1,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟（路线A）,标准挖坟 Dig_01,,L01_S10_AutoManufacture_1,,,,,,
L01_S9_Dig_2,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;2|Wreck;-1|Mage;1,挖坟（路线A）,标准挖坟 Dig_01,,L01_S10_AutoManufacture_1,,,,,,
L01_S10_AutoManufacture_1,AutoManufacture,,,,MapIcon_AutoManufacture_1,MapIcon_AutoManufacture_2,,自动制造,自动制造（—）,,L01_S11_PushMap,,,,,,
L01_S11_PushMap,PushMap,PushMap_03,,,MapIcon_Boss_1,MapIcon_Boss_2,,推图战,BOSS推图战,Spirit;20,,,,,,,
L02_S1_Dig_1,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟,标准挖坟 Dig_01,,L02_S2_Dig_1|L02_S2_Dig_2,,,,,,
L02_S2_Dig_1,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟（路线A）,标准挖坟 Dig_01,,L02_S3_AutoManufacture_1,,,,,,
L02_S2_Dig_2,Dig,Dig_02,,,MapIcon_Mixed_1,,Spirit;2|Wreck;-1|Mage;1,挖坟（路线B）,进阶挖坟 Dig_02,,L02_S3_AutoManufacture_1,,,,,,
L02_S3_AutoManufacture_1,AutoManufacture,,,,MapIcon_AutoManufacture_1,MapIcon_AutoManufacture_2,,自动制造,自动制造（—）,,L02_S4_SE_01,,,,,,
L02_S4_SE_01,SearchExtract,SearchExtract_01,1,1:Spirit;10|2:Spirit;20,MapIcon_Battle_1,MapIcon_Battle_2,,搜打撤,搜打撤样例 SearchExtract_01,Spirit;20,L02_S5_Dig_1|L02_S5_Dig_2|L02_S5_Shop_1,,,,,,
L02_S5_Dig_1,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟（路线A）,标准挖坟 Dig_01,,L02_S6_Dig_1,,,,,,
L02_S5_Dig_2,Dig,Dig_02,,,MapIcon_Mixed_1,,Spirit;2|Wreck;-1|Mage;1,挖坟（路线B）,进阶挖坟 Dig_02,,L02_S6_Dig_2,,,,,,
L02_S5_Shop_1,Shop,,,,MapIcon_Shop_1,MapIcon_Shop_2,,商店,商店（—）,,L02_S6_Dig_3,,,,,,
L02_S6_Dig_1,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟（路线A）,标准挖坟 Dig_01,,L02_S7_AutoManufacture_1,,,,,,
L02_S6_Dig_2,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;2|Wreck;-1|Mage;1,挖坟（路线A）,标准挖坟 Dig_01,,L02_S7_AutoManufacture_1|L02_S7_AutoManufacture_2,,,,,,
L02_S6_Dig_3,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟（路线A）,标准挖坟 Dig_01,,L02_S7_AutoManufacture_2,,,,,,
L02_S7_AutoManufacture_1,AutoManufacture,,,,MapIcon_AutoManufacture_1,MapIcon_AutoManufacture_2,,自动制造,自动制造（—）,,L02_S8_Shop_1,,,,,,
L02_S7_AutoManufacture_2,AutoManufacture,,,,MapIcon_AutoManufacture_1,MapIcon_AutoManufacture_2,,自动制造,自动制造（—）,,L02_S8_SE_01,,,,,,
L02_S8_Shop_1,Shop,,,,MapIcon_Shop_1,MapIcon_Shop_2,,商店,商店（—）,,L02_S9_Dig_1,,,,,,
L02_S8_SE_01,SearchExtract,SearchExtract_01,2,1:Spirit;10|2:Spirit;20,MapIcon_Battle_1,MapIcon_Battle_2,,搜打撤,搜打撤样例 SearchExtract_01,Spirit;20,L02_S9_Dig_2,,,,,,
L02_S9_Dig_1,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟（路线A）,标准挖坟 Dig_01,,L02_S10_AutoManufacture_1,,,,,,
L02_S9_Dig_2,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;2|Wreck;-1|Mage;1,挖坟（路线A）,标准挖坟 Dig_01,,L02_S10_AutoManufacture_1,,,,,,
L02_S10_AutoManufacture_1,AutoManufacture,,,,MapIcon_AutoManufacture_1,MapIcon_AutoManufacture_2,,自动制造,自动制造（—）,,L02_S11_PushMap,,,,,,
L02_S11_PushMap,PushMap,PushMap_03,,,MapIcon_Boss_1,MapIcon_Boss_2,,推图战,BOSS推图战,Spirit;20,,,,,,,
L03_S1_Dig_1,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟,标准挖坟 Dig_01,,L03_S2_Dig_1|L03_S2_Dig_2,,,,,,
L03_S2_Dig_1,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟（路线A）,标准挖坟 Dig_01,,L03_S3_AutoManufacture_1,,,,,,
L03_S2_Dig_2,Dig,Dig_02,,,MapIcon_Mixed_1,,Spirit;2|Wreck;-1|Mage;1,挖坟（路线B）,进阶挖坟 Dig_02,,L03_S3_AutoManufacture_1,,,,,,
L03_S3_AutoManufacture_1,AutoManufacture,,,,MapIcon_AutoManufacture_1,MapIcon_AutoManufacture_2,,自动制造,自动制造（—）,,L03_S4_SE_01,,,,,,
L03_S4_SE_01,SearchExtract,SearchExtract_01,1,1:Spirit;10|2:Spirit;20,MapIcon_Battle_1,MapIcon_Battle_2,,搜打撤,搜打撤样例 SearchExtract_01,Spirit;20,L03_S5_Dig_1|L03_S5_Dig_2|L03_S5_Shop_1,,,,,,
L03_S5_Dig_1,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟（路线A）,标准挖坟 Dig_01,,L03_S6_Dig_1,,,,,,
