AppearanceId,AppearanceLevel,RaceId,ClassAffinity,Description,IsFallback,BodyRadius,PushCoefficient,RepulsionScale,FacingYawFlip
App_0_00,1,Race_Undead,枯骨战士,基础兵种,1,0.13,0.4,0.4,0
App_0_10,1,Race_Undead,枯骨射手,基础兵种,1,0.13,0.4,0.4,0
App_0_20,1,Race_Undead,枯骨法师,基础兵种,1,0.13,0.4,0.4,0
App_0_30,1,Race_Undead,枯骨刺客,基础兵种,1,0.13,0.4,0.4,0
App_0_01,2,Race_Undead,战士,2级战士,1,0.16,0.5,0.5,0
App_0_11,2,Race_Undead,射手,2级射手,1,0.16,0.5,0.5,0
App_0_21,2,Race_Undead,法师,2级法师,1,0.16,0.5,0.5,0
App_0_31,2,Race_Undead,刺客,2级刺客,1,0.16,0.5,0.5,0
App_0_02,3,Race_Undead,近卫,高防御战士,1,0.16,0.6,0.6,0
App_0_12,3,Race_Undead,炸弹师,范围爆炸,1,0.16,0.6,0.6,0
App_0_22,3,Race_Undead,冰法,减速冰冻,1,0.16,0.6,0.6,0
App_0_32,3,Race_Undead,格斗师,专供精英敌人,1,0.16,0.6,0.6,0
App_0_03,3,Race_Undead,狂战士,高伤害,1,0.16,0.6,0.6,0
App_0_13,3,Race_Undead,长弓手,直线贯穿,1,0.16,0.6,0.6,0
App_0_23,3,Race_Undead,火法,范围持续伤害,1,0.16,0.6,0.6,0
App_0_33,3,Race_Undead,影刃,瞬移后排,1,0.16,0.6,0.6,0
App_4_41,4,Race_Angel,圣骑士,范围防御,1,0.16,0.7,0.7,0
App_5_51,4,Race_Demon,暗黑法师,致命魔法,1,0.16,0.7,0.7,0
