ClassId,ClassName,PrimaryStat,CombatConvertCoeffs,AttackRange,MeleeWindupSeconds,RangedProjectileSpeed,RangedTimeoutSeconds,ChaseMoveSpeedMult,AttackMode,PlacementOrder,DefaultAppearanceId
Class_Warrior,战士,Strength,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.3,0.5,0,0,2,Melee,1,App_0_01
Class_Archer,射手,Agility,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,1,0.5,13,1,0.5,Ranged,4,App_0_11
Class_Mage,法师,Intelligence,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.8,0.5,14,1,0.5,Ranged,3,App_0_21
Class_Rogue,盗贼,Agility,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.3,0.5,0,0,3,Melee,2,App_0_31
Class_Guardian,近卫,Strength,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.3,0.5,0,0,2,Melee,1,App_0_02
Class_BombMaster,炸弹师,Agility,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,1,0.5,13,1,0.5,Ranged,4,App_0_12
Class_IceMage,冰法,Intelligence,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.8,0.5,14,1,0.5,Ranged,3,App_0_22
Class_Brawler,格斗师,Strength,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.3,0.5,0,0,2,Melee,2,App_0_32
Class_Berserker,狂战士,Strength,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.3,0.5,0,0,2,Melee,1,App_0_03
Class_Longbowman,长弓手,Agility,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,1,0.5,13,1,0.5,Ranged,4,App_0_13
Class_FireMage,火法,Intelligence,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.8,0.5,14,1,0.5,Ranged,3,App_0_23
Class_Shadowblade,影刃,Intelligence,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.3,0.5,0,0,2,Melee,2,App_0_33
Class_Paladin,圣骑士,Strength,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.5,0.5,0,0,1.5,Melee,1,App_4_41
Class_DarkMage,暗黑法师,Intelligence,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.8,0.5,14,1,0.5,Ranged,2,App_5_51
Class_Knight,骑士,Strength,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.3,0.5,0,0,2,Melee,2,App_05
Class_Priest,牧师,Intelligence,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,1.2,0.5,17,2,0.5,Ranged,10,App_09
Class_Ranger,游侠,Agility,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,1.1,0.5,19,1,1,Ranged,7,App_03
Class_Warlock,术士,Intelligence,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.9,0.5,20,1,1,Ranged,9,App_08
Class_Servants,仆从,Strength,NormalAttackPrimaryMult_15|AttackSpeedBase_0.5|AttackSpeedAgiDiv_60|SkillCdIntDiv_30|SkillCdFloor_0.1,0.3,0.5,0,0,2.5,Melee,11,
