MagicBookId,IsUnique,IsProbabilistic,EffectPhase,EffectPayload,EffectParams,IconAssetId,DisplayName,Description,VisualStyleId,VisualPriority,VisualIntensityAdd
MagicBook_Restore,1,0,SoldierManufacture,RaceWeightPick,,MagicBook_Restore,还原,装备后制造时按部位 RaceId 加权随机定种族,,,
MagicBook_WarriorEnhance,0,0,SoldierManufacture,StatMul,"Stat=Primary|Mul=1.15|ClassId=Class_BaseWarrior,Class_Warrior",MagicBook_WarriorEnhance,战士强化,装备后，Mode2 制造的枯骨战士/战士主属性增加躯体该维之和的 15%（可叠），至彻底死亡,Style_ScaleModel,0,1.5
MagicBook_SoldierSkillLevel,0,0,SoldierManufacture,SoldierSkillLevelAdd,SkillId=Skill_01|Delta=1,MagicBook_SoldierSkillLevel,士兵技能升级,装备后，Mode2 制造时若士兵已有 Skill_01 则等级 +1（钳制到表内最大级）,Style_SkillAberration,10,1
MagicBook_WarriorAdvance,1,1,SoldierManufacture,ForceClass,ClassId=Class_Warrior|RequireClassId=Class_BaseWarrior|Chance=1,MagicBook_WarriorAdvance,战士进阶,装备后，Mode2 制造职业为 Class_BaseWarrior 的士兵时，变为 Class_Warrior,,,
MagicBook_ArcherAdvance,1,1,SoldierManufacture,ForceClass,ClassId=Class_Archer|RequireClassId=Class_BaseArcher|Chance=0.25,MagicBook_ArcherAdvance,射手进阶,装备后，Mode2 制造职业为 Class_BaseArcher 的士兵时，25% 概率变为 Class_Archer,,,
MagicBook_MageAdvance,1,1,SoldierManufacture,ForceClass,ClassId=Class_Mage|RequireClassId=Class_BaseMage|Chance=0.25,MagicBook_MageAdvance,法师进阶,装备后，Mode2 制造职业为 Class_BaseMage 的士兵时，25% 概率变为 Class_Mage,,,
MagicBook_RogueAdvance,1,1,SoldierManufacture,ForceClass,ClassId=Class_Rogue|RequireClassId=Class_BaseRogue|Chance=0.25,MagicBook_RogueAdvance,刺客进阶,装备后，Mode2 制造职业为 Class_BaseRogue 的士兵时，25% 概率变为 Class_Rogue,,,
MagicBook_CombatMaxHpLow,1,0,Combat,StatMul,Stat=MaxHP|Mul=1.15,MagicBook_CombatMaxHpLow,生命强化·初,装备后，战斗时上阵士兵生命上限提升 15%（开战生效，不改制造 Base）,,,
MagicBook_CombatMaxHpHigh,1,0,Combat,StatMul,Stat=MaxHP|Mul=1.30,MagicBook_CombatMaxHpHigh,生命强化·高,装备后，战斗时上阵士兵生命上限提升 30%（开战生效，不改制造 Base）,,,
MagicBook_CombatStrengthLow,1,0,Combat,StatMul,Stat=Strength|Mul=1.15,MagicBook_CombatStrengthLow,力量强化·初,装备后，战斗时上阵士兵力量提升 15%（开战生效，不改制造 Base）,,,
MagicBook_CombatStrengthHigh,1,0,Combat,StatMul,Stat=Strength|Mul=1.30,MagicBook_CombatStrengthHigh,力量强化·高,装备后，战斗时上阵士兵力量提升 30%（开战生效，不改制造 Base）,,,
MagicBook_CombatAgilityLow,1,0,Combat,StatMul,Stat=Agility|Mul=1.15,MagicBook_CombatAgilityLow,敏捷强化·初,装备后，战斗时上阵士兵敏捷提升 15%（开战生效，不改制造 Base）,,,
MagicBook_CombatAgilityHigh,1,0,Combat,StatMul,Stat=Agility|Mul=1.30,MagicBook_CombatAgilityHigh,敏捷强化·高,装备后，战斗时上阵士兵敏捷提升 30%（开战生效，不改制造 Base）,,,
MagicBook_CombatIntelligenceLow,1,0,Combat,StatMul,Stat=Intelligence|Mul=1.15,MagicBook_CombatIntelligenceLow,智力强化·初,装备后，战斗时上阵士兵智力提升 15%（开战生效，不改制造 Base）,,,
MagicBook_CombatIntelligenceHigh,1,0,Combat,StatMul,Stat=Intelligence|Mul=1.30,MagicBook_CombatIntelligenceHigh,智力强化·高,装备后，战斗时上阵士兵智力提升 30%（开战生效，不改制造 Base）,,,
