EquipId,EquipLevel,DisplayName,IconAssetId,ExpToNextLevel,ConvertExpValue,EffectDomain,EquipEffect,Description,
Equip_IronShovel,1,铁铲,Icon_IronShovel,1,1,Dig,DigCursorRadius_0.06,每级增加挖坟半径10%（1级）,
Equip_IronShovel,2,铁铲,Icon_IronShovel,1,2,Dig,DigCursorRadius_0.16,每级增加挖坟半径10%（2级）,
Equip_IronShovel,3,铁铲,Icon_IronShovel,1,3,Dig,DigCursorRadius_0.26,每级增加挖坟半径10%（3级）,
Equip_IronShovel,4,铁铲,Icon_IronShovel,1,4,Dig,DigCursorRadius_0.36,每级增加挖坟半径10%（4级）,
Equip_IronShovel,5,铁铲,Icon_IronShovel,,5,Dig,DigCursorRadius_0.46,每级增加挖坟半径10%（满级）,
Equip_MinerLamp,1,矿灯,Icon_MinerLamp,1,1,Dig,GraveSpawnWeightBonus_Q4_10|GraveSpawnWeightBonus_Q5_10|GraveSpawnWeightBonus_Q6_10,每级增加Q4/Q5/Q6生成权重10（1级）,
Equip_MinerLamp,2,矿灯,Icon_MinerLamp,1,2,Dig,GraveSpawnWeightBonus_Q4_20|GraveSpawnWeightBonus_Q5_20|GraveSpawnWeightBonus_Q6_20,每级增加Q4/Q5/Q6生成权重10（2级）,
Equip_MinerLamp,3,矿灯,Icon_MinerLamp,1,3,Dig,GraveSpawnWeightBonus_Q4_30|GraveSpawnWeightBonus_Q5_30|GraveSpawnWeightBonus_Q6_30,每级增加Q4/Q5/Q6生成权重10（3级）,
Equip_MinerLamp,4,矿灯,Icon_MinerLamp,1,4,Dig,GraveSpawnWeightBonus_Q4_40|GraveSpawnWeightBonus_Q5_40|GraveSpawnWeightBonus_Q6_40,每级增加Q4/Q5/Q6生成权重10（4级）,
Equip_MinerLamp,5,矿灯,Icon_MinerLamp,,5,Dig,GraveSpawnWeightBonus_Q4_50|GraveSpawnWeightBonus_Q5_50|GraveSpawnWeightBonus_Q6_50,每级增加Q4/Q5/Q6生成权重10（满级）,
Equip_Explosives,1,炸药,Icon_Explosives,1,1,Dig,DigOnGraveClear_1|ExplosiveThrowRadius_3|ExplosiveBlastRadius_1.5|ExplosiveBlastDamage_13|ExplosiveFlightSec_0.5|ExplosiveFuseSec_0.8|ExplosiveRingSec_0.5,从挖开坟墓后，向周围随机丢出1个炸药桶，落地后爆炸,
Equip_Explosives,2,炸药,Icon_Explosives,1,2,Dig,DigOnGraveClear_1|ExplosiveThrowRadius_3|ExplosiveBlastRadius_1.5|ExplosiveBlastDamage_18|ExplosiveFlightSec_0.5|ExplosiveFuseSec_0.8|ExplosiveRingSec_0.5,从挖开坟墓后，向周围随机丢出1个炸药桶，落地后爆炸,
Equip_Explosives,3,炸药,Icon_Explosives,1,3,Dig,DigOnGraveClear_1|ExplosiveThrowRadius_3|ExplosiveBlastRadius_1.5|ExplosiveBlastDamage_23|ExplosiveFlightSec_0.5|ExplosiveFuseSec_0.8|ExplosiveRingSec_0.5,从挖开坟墓后，向周围随机丢出1个炸药桶，落地后爆炸,
Equip_Explosives,4,炸药,Icon_Explosives,1,4,Dig,DigOnGraveClear_1|ExplosiveThrowRadius_3|ExplosiveBlastRadius_1.5|ExplosiveBlastDamage_28|ExplosiveFlightSec_0.5|ExplosiveFuseSec_0.8|ExplosiveRingSec_0.5,从挖开坟墓后，向周围随机丢出1个炸药桶，落地后爆炸,
Equip_Explosives,5,炸药,Icon_Explosives,,5,Dig,DigOnGraveClear_1|ExplosiveThrowRadius_3|ExplosiveBlastRadius_1.5|ExplosiveBlastDamage_33|ExplosiveFlightSec_0.5|ExplosiveFuseSec_0.8|ExplosiveRingSec_0.5,从挖开坟墓后，向周围随机丢出1个炸药桶，落地后爆炸,
Equip_Elctr,1,引雷,Icon_Elctr,1,1,Dig,DigLightningIntervalSec_15|DigLightningFrameSec_0.05|DigLightningPreviewSec_2,挖坟倒计时，每隔15秒，天上落下一个闪电，会随机命中一个坟墓产出士兵,
Equip_Elctr,2,引雷,Icon_Elctr,1,2,Dig,DigLightningIntervalSec_13|DigLightningFrameSec_0.05|DigLightningPreviewSec_2,挖坟倒计时，每隔13秒，天上落下一个闪电，会随机命中一个坟墓产出士兵,
Equip_Elctr,3,引雷,Icon_Elctr,1,3,Dig,DigLightningIntervalSec_11|DigLightningFrameSec_0.05|DigLightningPreviewSec_2,挖坟倒计时，每隔11秒，天上落下一个闪电，会随机命中一个坟墓产出士兵,
Equip_Elctr,4,引雷,Icon_Elctr,1,4,Dig,DigLightningIntervalSec_9|DigLightningFrameSec_0.05|DigLightningPreviewSec_2,挖坟倒计时，每隔9秒，天上落下一个闪电，会随机命中一个坟墓产出士兵,
Equip_Elctr,5,引雷,Icon_Elctr,,5,Dig,DigLightningIntervalSec_7|DigLightningFrameSec_0.05|DigLightningPreviewSec_2,挖坟倒计时，每隔7秒，天上落下一个闪电，会随机命中一个坟墓产出士兵,
Equip_Detector,1,探测器,Icon_Detector,1,1,Dig,DigProcessSpawnCountBonus_1,每级增加挖坟过程生成坟墓数量+1（1级）,
Equip_Detector,2,探测器,Icon_Detector,1,2,Dig,DigProcessSpawnCountBonus_2,每级增加挖坟过程生成坟墓数量+1（2级）,
Equip_Detector,3,探测器,Icon_Detector,1,3,Dig,DigProcessSpawnCountBonus_3,每级增加挖坟过程生成坟墓数量+1（3级）,
Equip_Detector,4,探测器,Icon_Detector,1,4,Dig,DigProcessSpawnCountBonus_4,每级增加挖坟过程生成坟墓数量+1（4级）,
Equip_Detector,5,探测器,Icon_Detector,,5,Dig,DigProcessSpawnCountBonus_5,每级增加挖坟过程生成坟墓数量+1（满级）,
Equip_HumanToken,1,人类信物,Icon_HumanToken,1,1,Dig,GraveSpawnWeightBonus_Q16_10|GraveSpawnWeightBonus_Q17_10|GraveSpawnWeightBonus_Q18_10|GraveSpawnWeightBonus_Q19_10,增加发现人类坟墓的概率,
Equip_HumanToken,2,人类信物,Icon_HumanToken,1,2,Dig,GraveSpawnWeightBonus_Q16_15|GraveSpawnWeightBonus_Q17_15|GraveSpawnWeightBonus_Q18_15|GraveSpawnWeightBonus_Q19_15,增加发现人类坟墓的概率,
Equip_HumanToken,3,人类信物,Icon_HumanToken,1,3,Dig,GraveSpawnWeightBonus_Q16_20|GraveSpawnWeightBonus_Q17_20|GraveSpawnWeightBonus_Q18_20|GraveSpawnWeightBonus_Q19_20,增加发现人类坟墓的概率,
Equip_HumanToken,4,人类信物,Icon_HumanToken,1,4,Dig,GraveSpawnWeightBonus_Q16_25|GraveSpawnWeightBonus_Q17_25|GraveSpawnWeightBonus_Q18_25|GraveSpawnWeightBonus_Q19_25,增加发现人类坟墓的概率,
Equip_HumanToken,5,人类信物,Icon_HumanToken,,5,Dig,GraveSpawnWeightBonus_Q16_30|GraveSpawnWeightBonus_Q17_30|GraveSpawnWeightBonus_Q18_30|GraveSpawnWeightBonus_Q19_30,增加发现人类坟墓的概率,
Equip_ElfToken,1,精灵信物,Icon_ElfToken,1,1,Dig,GraveSpawnWeightBonus_Q20_10|GraveSpawnWeightBonus_Q21_10|GraveSpawnWeightBonus_Q22_10|GraveSpawnWeightBonus_Q23_10,增加发现精灵族坟墓的概率,
Equip_ElfToken,2,精灵信物,Icon_ElfToken,1,2,Dig,GraveSpawnWeightBonus_Q20_15|GraveSpawnWeightBonus_Q21_15|GraveSpawnWeightBonus_Q22_15|GraveSpawnWeightBonus_Q23_15,增加发现精灵族坟墓的概率,
Equip_ElfToken,3,精灵信物,Icon_ElfToken,1,3,Dig,GraveSpawnWeightBonus_Q20_20|GraveSpawnWeightBonus_Q21_20|GraveSpawnWeightBonus_Q22_20|GraveSpawnWeightBonus_Q23_20,增加发现精灵族坟墓的概率,
Equip_ElfToken,4,精灵信物,Icon_ElfToken,1,4,Dig,GraveSpawnWeightBonus_Q20_25|GraveSpawnWeightBonus_Q21_25|GraveSpawnWeightBonus_Q22_25|GraveSpawnWeightBonus_Q23_25,增加发现精灵族坟墓的概率,
Equip_ElfToken,5,精灵信物,Icon_ElfToken,,5,Dig,GraveSpawnWeightBonus_Q20_30|GraveSpawnWeightBonus_Q21_30|GraveSpawnWeightBonus_Q22_30|GraveSpawnWeightBonus_Q23_30,增加发现精灵族坟墓的概率,
Equip_OrcToken,1,兽人信物,Icon_OrcToken,1,1,Dig,GraveSpawnWeightBonus_Q24_10|GraveSpawnWeightBonus_Q25_10|GraveSpawnWeightBonus_Q26_10|GraveSpawnWeightBonus_Q27_10,增加发现兽人坟墓的概率,
Equip_OrcToken,2,兽人信物,Icon_OrcToken,1,2,Dig,GraveSpawnWeightBonus_Q24_15|GraveSpawnWeightBonus_Q25_15|GraveSpawnWeightBonus_Q26_15|GraveSpawnWeightBonus_Q27_15,增加发现兽人坟墓的概率,
Equip_OrcToken,3,兽人信物,Icon_OrcToken,1,3,Dig,GraveSpawnWeightBonus_Q24_20|GraveSpawnWeightBonus_Q25_20|GraveSpawnWeightBonus_Q26_20|GraveSpawnWeightBonus_Q27_20,增加发现兽人坟墓的概率,
Equip_OrcToken,4,兽人信物,Icon_OrcToken,1,4,Dig,GraveSpawnWeightBonus_Q24_25|GraveSpawnWeightBonus_Q25_25|GraveSpawnWeightBonus_Q26_25|GraveSpawnWeightBonus_Q27_25,增加发现兽人坟墓的概率,
Equip_OrcToken,5,兽人信物,Icon_OrcToken,,5,Dig,GraveSpawnWeightBonus_Q24_30|GraveSpawnWeightBonus_Q25_30|GraveSpawnWeightBonus_Q26_30|GraveSpawnWeightBonus_Q27_30,增加发现兽人坟墓的概率,
