GameplayConfigId,GatherPointOrder,WaveIndex,FirstWaveDelaySeconds,WaveIntervalSeconds,RepeatSpawnCount,SpawnPointId,MonsterId,SpawnCount
SearchExtract_01,1,1,5,30,2,SP_01,Monster_04,5
SearchExtract_01,1,2,10,30,2,SP_02,Monster_04,5
SearchExtract_01,1,3,30,30,2,SP_03,Monster_04,5
SearchExtract_01,1,4,40,30,2,SP_04,Monster_04,5
SearchExtract_02,1,1,5,25,3,SP_01,Monster_04,6
SearchExtract_02,1,2,10,25,3,SP_02,Monster_04,6
SearchExtract_02,1,3,15,25,3,SP_03,Monster_04,8
SearchExtract_02,1,4,20,25,3,SP_04,Monster_04,8
SearchExtract_02,2,1,5,25,3,SP_11,Monster_04,6
SearchExtract_02,2,2,10,25,3,SP_12,Monster_04,6
SearchExtract_02,2,3,15,25,3,SP_13,Monster_04,8
SearchExtract_02,2,4,20,25,3,SP_14,Monster_04,8
SearchExtract_03,1,1,5,25,4,SP_01,Monster_04,8
SearchExtract_03,1,2,10,25,4,SP_02,Monster_04,8
SearchExtract_03,1,3,15,25,4,SP_03,Monster_04,8
SearchExtract_03,1,4,20,25,4,SP_04,Monster_04,8
SearchExtract_04,1,1,5,25,4,SP_01,Monster_04,10
SearchExtract_04,1,2,10,25,4,SP_02,Monster_04,10
SearchExtract_04,1,3,15,25,4,SP_03,Monster_04,10
SearchExtract_04,1,4,20,25,4,SP_04,Monster_04,10
